自动扫描新源_183.223.157.123,#genre#
频道_1,http://183.223.157.123:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
频道_2,http://183.223.157.123:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
频道_3,http://183.223.157.123:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
频道_4,http://183.223.157.123:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
频道_5,http://183.223.157.123:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
频道_6,http://183.223.157.123:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
频道_7,http://183.223.157.123:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
频道_8,http://183.223.157.123:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
频道_9,http://183.223.157.123:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
频道_10,http://183.223.157.123:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
频道_11,http://183.223.157.123:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
频道_12,http://183.223.157.123:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
