自动扫描新源_101.65.135.148,#genre#
频道_1,http://101.65.135.148:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
频道_2,http://101.65.135.148:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
频道_3,http://101.65.135.148:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
频道_4,http://101.65.135.148:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
频道_5,http://101.65.135.148:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
频道_6,http://101.65.135.148:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
频道_7,http://101.65.135.148:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
频道_8,http://101.65.135.148:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
频道_9,http://101.65.135.148:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
频道_10,http://101.65.135.148:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
频道_11,http://101.65.135.148:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
频道_12,http://101.65.135.148:85/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
频道_13,http://101.65.135.148:85/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
频道_14,http://101.65.135.148:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
频道_15,http://101.65.135.148:85/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
频道_16,http://101.65.135.148:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
频道_17,http://101.65.135.148:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
频道_18,http://101.65.135.148:85/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
